filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/26330995.pdf,PUBLIC-RELATIONS,10,0,"communication, designed, expert, implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/59346975.pdf,PUBLIC-RELATIONS,3,0,"lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/42332765.pdf,PUBLIC-RELATIONS,11,0,"communication, delivered, lead, leadership, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/93828034.pdf,PUBLIC-RELATIONS,7,0,"implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/25413261.pdf,PUBLIC-RELATIONS,19,0,"communication, designed, expert, implemented, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/12545844.pdf,PUBLIC-RELATIONS,6,0,"communication, expert, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14364597.pdf,PUBLIC-RELATIONS,4,2,"communication, manager, senior",ms word
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/51415089.pdf,PUBLIC-RELATIONS,2,0,"implemented, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/49119887.pdf,PUBLIC-RELATIONS,9,0,"lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21549195.pdf,PUBLIC-RELATIONS,18,0,"communication, designed, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/41590605.pdf,PUBLIC-RELATIONS,13,0,"achieved, communication, expert, implemented, lead, manager, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/30642458.pdf,PUBLIC-RELATIONS,4,0,"implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/12237267.pdf,PUBLIC-RELATIONS,14,0,"implemented, lead, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/20470943.pdf,PUBLIC-RELATIONS,6,0,"communication, delivered, implemented, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/19497420.pdf,PUBLIC-RELATIONS,13,0,"communication, designed, implemented, leadership, manager, optimized, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21669215.pdf,PUBLIC-RELATIONS,6,0,"communication, designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/22861181.pdf,PUBLIC-RELATIONS,9,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/61319162.pdf,PUBLIC-RELATIONS,13,0,"communication, designed, implemented, lead, leadership, manager, senior",
